"site","dti","iter"
"Jenaro Herrera",0.0189208039068972,279
"Jenaro Herrera",0.00777374523297314,280
"Jenaro Herrera",0.041236722880492,281
"Jenaro Herrera",0.00205196636413774,282
"Jenaro Herrera",0.027215163755419,283
"Jenaro Herrera",0.0113452710116271,284
"Jenaro Herrera",0.0101989846408469,285
"Jenaro Herrera",0.00333855959642482,286
"Jenaro Herrera",0.0128405643830655,287
"Jenaro Herrera",0.0373524218167629,288
"Jenaro Herrera",0.000704932550648296,289
"Jenaro Herrera",0.0115224582560561,290
"Jenaro Herrera",0.00396873552233346,291
"Jenaro Herrera",0.00677024758615385,292
"Jenaro Herrera",0.0217255915259936,293
"Jenaro Herrera",0.0110563549301724,294
"Jenaro Herrera",0.0138202989305675,295
"Jenaro Herrera",0.0021587579473209,296
"Jenaro Herrera",0.0181109902838248,297
"Jenaro Herrera",0.00135322136612681,298
"Jenaro Herrera",0.0114038154362507,299
"Jenaro Herrera",0.0252253729875345,300
"Jenaro Herrera",0.0084038546137315,301
"Jenaro Herrera",0.00573731444032255,302
"Jenaro Herrera",0.00304882729300693,303
"Jenaro Herrera",0.0320857295085191,304
"Jenaro Herrera",0.0142636964698368,305
"Jenaro Herrera",0.0186837419867969,306
"Jenaro Herrera",0.0252328549929336,307
"Jenaro Herrera",0.00309268210315561,308
"Jenaro Herrera",0.001638004968055,309
"Jenaro Herrera",0.00701168176247324,310
"Jenaro Herrera",0.0476926829723466,311
"Jenaro Herrera",0.027234725163336,312
"Jenaro Herrera",0.00685564131326366,313
"Jenaro Herrera",0.000421696400420002,314
"Jenaro Herrera",0.0111312159928373,315
"Jenaro Herrera",0.0249388768506238,316
"Jenaro Herrera",0.023815033696768,317
"Jenaro Herrera",0.0461201777559791,318
"Jenaro Herrera",0.0103128016142671,319
"Jenaro Herrera",0.00103092754872336,320
"Jenaro Herrera",0.00246182294334119,321
"Jenaro Herrera",0.0189499758674543,322
"Jenaro Herrera",0.00200484182966321,323
"Jenaro Herrera",0.00867964203988059,324
"Jenaro Herrera",0.000333192720163966,325
"Jenaro Herrera",0.00504757332514993,326
"Jenaro Herrera",0.0094947841203743,327
"Jenaro Herrera",0.0303841314460116,328
"Jenaro Herrera",0.0105397604028113,329
"Jenaro Herrera",0.00586999901381335,330
"Jenaro Herrera",0.000257377991077168,331
"Jenaro Herrera",0.00757528393312257,332
"Jenaro Herrera",0.00555162917360053,333
"Jenaro Herrera",0.0456721342976081,334
"Jenaro Herrera",0.0180599458256336,335
"Jenaro Herrera",0.0222930623974235,336
"Jenaro Herrera",0.0153530468664623,337
"Jenaro Herrera",0.00107892816124677,338
"Jenaro Herrera",0.0130072622168834,339
"Jenaro Herrera",0.00473835074280893,340
"Jenaro Herrera",0.00815323686833247,341
"Jenaro Herrera",0.00207263693969428,342
"Jenaro Herrera",0.00820729146152976,343
"Jenaro Herrera",0.00245253567084025,344
"Jenaro Herrera",0.00534211105591464,345
"Jenaro Herrera",0.0119266308117196,346
"Jenaro Herrera",0.00234450205334913,347
"Jenaro Herrera",0.0061276999637816,348
"Jenaro Herrera",0.00991436715362337,349
"Jenaro Herrera",0.00710209153112806,350
"Jenaro Herrera",0.0103798334280816,351
"Jenaro Herrera",0.00259848600456725,352
"Jenaro Herrera",0.0453245155183974,353
"Jenaro Herrera",0.0104772875598556,354
"Jenaro Herrera",0.0125157355144923,355
"Jenaro Herrera",0.0122462139462743,356
"Jenaro Herrera",0.00436707583219542,357
"Jenaro Herrera",0.0357217630749351,358
"Jenaro Herrera",0.00812821642784534,359
"Jenaro Herrera",0.0218774136103379,360
"Jenaro Herrera",0.0127094732491159,361
"Jenaro Herrera",0.00968838905303449,362
"Jenaro Herrera",0.00900356943949754,363
"Jenaro Herrera",0.00646286724091238,364
"Jenaro Herrera",0.00936180607314618,365
"Jenaro Herrera",0.0271522576091594,366
"Jenaro Herrera",0.00196598517538893,367
"Jenaro Herrera",0.0107651762614434,368
"Jenaro Herrera",0.0394711468844323,369
"Jenaro Herrera",0.00423980263034596,370
"Jenaro Herrera",0.00507603472514584,371
"Jenaro Herrera",0.016524346180691,372
"Jenaro Herrera",0.0105743242848096,373
"Jenaro Herrera",0.0138586227070914,374
"Jenaro Herrera",0.0252611586024138,375
"Jenaro Herrera",0.00312984258646121,376
"Jenaro Herrera",0.00154629653113825,377
"Jenaro Herrera",0.0191374472275988,378
"Jenaro Herrera",0.00667546382788931,379
"Jenaro Herrera",0.00170590529441639,380
"Jenaro Herrera",0.000848814696662759,381
"Jenaro Herrera",0.00997771790915158,382
"Jenaro Herrera",0.0090812741888433,383
"Jenaro Herrera",0.000491755470824251,384
"Jenaro Herrera",0.00872897898631997,385
"Jenaro Herrera",0.0131991882364773,386
"Jenaro Herrera",0.026634848870047,387
"Jenaro Herrera",0.00180876022602505,388
"Jenaro Herrera",0.00356432241571392,389
